Name,Span,Innings,AverageDiff
GS Chappell (AUS),1980-1984,85,4.75
B Jerkovic (CRT),2022-2022,5,4.75
Sami Ullah (ROM),2020-2021,9,4.66
Basil Hameed (UAE),2019-2022,52,4.66
R Dravid (Asia/ICC/IND),1996-2012,509,4.56
Ahmed Wardak (GER),2019-2022,11,4.50
Gurpratap Singh (CYP),2021-2022,11,4.37
Sayed Monib (KUW),2020-2022,13,4.33
S Nadigotla (ROM),2019-2022,18,4.08
KK Flowers (Blz),2019-2019,3,4.00
RA Sealy (Caym),2022-2022,5,4.00
C Viljoen (NAM),2019-2019,14,3.96
J Ghadiyali (SWA),2021-2021,6,3.90
Tanvir Ahmed (PAK),2010-2013,8,3.88
Nawroz Mangal (AFG),2009-2017,81,3.75
JH Kallis (Afr/ICC/SA),1995-2014,519,3.48
A Symonds (AUS),1998-2009,238,3.40
L Denny (COK),2022-2022,6,3.25
